pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_location_id,dropoff_location_id,total_amount,trip_type
08-25-13 03:04:20,08-25-13 03:08:40,5,1.21,-73.9156265258789,40.75745010375977,-73.91474914550781,40.74456024169922,,,7.0,
08-30-13 23:43:49,08-31-13 00:09:25,4,4.7,-73.99777221679686,40.683204650878906,-73.95175170898438,40.68915557861328,,,26.25,
08-24-13 14:20:06,08-24-13 14:33:07,1,3.54,-73.85796356201173,40.83443069458008,-73.89046478271484,40.858604431152344,,,14.0,
08-26-13 12:04:02,08-26-13 12:04:10,5,0.0,-73.90209197998048,40.7640037536621,-73.90206146240234,40.76399230957031,,,0.0,
08-22-13 00:20:45,08-22-13 00:34:36,6,2.73,-73.954345703125,40.73036575317383,-73.92547607421875,40.698238372802734,,,12.5,
08-19-13 18:52:38,08-19-13 19:02:42,1,1.77,-73.84432983398438,40.72135925292969,-73.85713958740234,40.72467041015625,,,11.0,
08-28-13 19:58:28,08-28-13 20:05:00,1,1.05,-73.92032623291014,40.75743865966797,-73.90979766845702,40.76981735229492,,,7.5,
08-30-13 15:58:38,08-30-13 16:01:06,1,0.56,-73.96649932861328,40.80420303344727,-73.96094512939453,40.810222625732415,,,5.62,
08-27-13 13:52:07,08-27-13 14:01:56,5,1.38,-73.95018768310547,40.81322860717773,-73.95669555664062,40.8208236694336,,,8.0,
08-16-13 20:08:37,08-16-13 20:18:45,5,2.4,-73.88079071044923,40.76751327514648,-73.89881896972656,40.74655151367188,,,11.5,
