pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_location_id,dropoff_location_id,total_amount
06-29-13 08:19:47,06-29-13 08:28:17,2,1.7,-73.99537599999998,40.739315999999995,-74.000997,40.721095,,,10.0
06-06-13 14:17:18,06-06-13 14:44:42,1,2.3,-73.977356,40.754204,-74.002716,40.734031,,,18.0
06-29-13 20:46:00,06-29-13 20:59:00,2,4.58,-73.96676999999998,40.80412000000001,-73.99164499999998,40.758342,,,17.0
06-25-13 09:50:00,06-25-13 10:09:00,1,2.84,-73.96054699999998,40.760512,-73.991325,40.751655,,,18.5
06-29-13 08:42:00,06-29-13 08:52:00,1,2.63,-74.004345,40.70771,-73.997462,40.736542,,,11.0
06-03-13 08:55:00,06-03-13 08:59:00,1,0.49,-73.980435,40.76546,-73.988,40.769079999999995,,,5.8
06-30-13 00:35:33,06-30-13 00:43:55,1,1.6,-73.99002299999998,40.760607,-73.98643299999998,40.777586,,,10.8
06-18-13 18:49:00,06-18-13 18:53:00,1,1.41,-73.96222199999998,40.800282,-73.97464699999998,40.783147,,,8.9
06-05-13 12:10:00,06-05-13 12:16:00,1,1.35,-73.98007699999998,40.783602,-73.96188999999998,40.780652,,,7.5
06-28-13 16:07:00,06-28-13 16:17:00,2,1.28,-73.99061999999998,40.740462,-73.99183199999997,40.726042,,,11.1
